filename,activity_label,decision_basis,notes
1_20260921015943.csv,-1,uncertain,Marked uncertain for later review
1_20260921020139.csv,0,image,Assigned as no_activity
2_20260921015953.csv,0,image,Assigned as no_activity
2_20260921020149.csv,0,image,Assigned as no_activity
3_20260921020003.csv,0,image,Assigned as no_activity
3_20260921020159.csv,0,image,Assigned as no_activity
4_20260921020013.csv,-1,uncertain,Marked uncertain for later review
4_20260921020209.csv,0,image,Assigned as no_activity
5_20260921020219.csv,0,image,Assigned as no_activity
6_20260921020229.csv,0,image,Assigned as no_activity
7_20260921020239.csv,0,image,Assigned as no_activity
8_20260921020249.csv,0,image,Assigned as no_activity
9_20260921020259.csv,0,image,Assigned as no_activity
10_20260921020309.csv,0,image,Assigned as no_activity
11_20260921020319.csv,0,image,Assigned as no_activity
12_20260921020329.csv,0,image,Assigned as no_activity
13_20260921020339.csv,0,image,Assigned as no_activity
14_20260921020349.csv,0,image,Assigned as no_activity
15_20260921020359.csv,0,image,Assigned as no_activity
16_20260921020409.csv,0,image,Assigned as no_activity
17_20260921020419.csv,0,image,Assigned as no_activity
18_20260921020429.csv,0,image,Assigned as no_activity
19_20260921020439.csv,0,image,Assigned as no_activity
20_20260921020449.csv,0,image,Assigned as no_activity
21_20260921020459.csv,0,image,Assigned as no_activity
22_20260921020509.csv,0,image,Assigned as no_activity
23_20260921020519.csv,0,image,Assigned as no_activity
24_20260921020529.csv,0,image,Assigned as no_activity
25_20260921020539.csv,0,image,Assigned as no_activity
26_20260921020549.csv,0,image,Assigned as no_activity
27_20260921020559.csv,0,image,Assigned as no_activity
28_20260921020609.csv,0,image,Assigned as no_activity
29_20260921020619.csv,0,image,Assigned as no_activity
30_20260921020629.csv,0,image,Assigned as no_activity
31_20260921020639.csv,0,image,Assigned as no_activity
32_20260921020649.csv,0,image,Assigned as no_activity
33_20260921020659.csv,1,image,Assigned as tilt
34_20260921020709.csv,1,image,Assigned as tilt
35_20260921020719.csv,1,image,Assigned as tilt
36_20260921020729.csv,1,image,Assigned as tilt
37_20260921020739.csv,1,image,Assigned as tilt
38_20260921020749.csv,1,image,Assigned as tilt
39_20260921020759.csv,1,accelerometer_data,Assigned as tilt
40_20260921020809.csv,1,image,Assigned as tilt
41_20260921020819.csv,1,accelerometer_data,Assigned as tilt
42_20260921020829.csv,1,image,Assigned as tilt
43_20260921020839.csv,1,image,Assigned as tilt
44_20260921020849.csv,1,image,Assigned as tilt
45_20260921020859.csv,1,image,Assigned as tilt
46_20260921020909.csv,1,image,Assigned as tilt
47_20260921020919.csv,1,accelerometer_data,Assigned as tilt
48_20260921020929.csv,1,image,Assigned as tilt
49_20260921020939.csv,1,image,Assigned as tilt
50_20260921020949.csv,1,accelerometer_data,Assigned as tilt
51_20260921020959.csv,1,image,Assigned as tilt
52_20260921021009.csv,1,image,Assigned as tilt
53_20260921021019.csv,1,image,Assigned as tilt
54_20260921021029.csv,1,accelerometer_data,Assigned as tilt
55_20260921021039.csv,1,image,Assigned as tilt
56_20260921021049.csv,1,accelerometer_data,Assigned as tilt
57_20260921021059.csv,1,image,Assigned as tilt
58_20260921021109.csv,1,accelerometer_data,Assigned as tilt
59_20260921021119.csv,1,image,Assigned as tilt
60_20260921021129.csv,1,accelerometer_data,Assigned as tilt
61_20260921021139.csv,1,accelerometer_data,Assigned as tilt
62_20260921021149.csv,1,accelerometer_data,Assigned as tilt
63_20260921021159.csv,1,image,Assigned as tilt
64_20260921021209.csv,1,image,Assigned as tilt
65_20260921021219.csv,1,accelerometer_data,Assigned as tilt
66_20260921021229.csv,1,image,Assigned as tilt
67_20260921021239.csv,1,image,Assigned as tilt
68_20260921021249.csv,-1,uncertain,Marked uncertain for later review
69_20260921021259.csv,2,image_and_accelerometer_data,Assigned as side_to_side_wave
70_20260921021309.csv,2,accelerometer_data,Assigned as side_to_side_wave
71_20260921021319.csv,2,image,Assigned as side_to_side_wave
72_20260921021329.csv,2,image,Assigned as side_to_side_wave
73_20260921021339.csv,2,image,Assigned as side_to_side_wave
74_20260921021349.csv,2,image,Assigned as side_to_side_wave
75_20260921021359.csv,2,image,Assigned as side_to_side_wave
76_20260921021409.csv,2,image,Assigned as side_to_side_wave
77_20260921021419.csv,2,image,Assigned as side_to_side_wave
78_20260921021429.csv,2,image,Assigned as side_to_side_wave
79_20260921021439.csv,2,image,Assigned as side_to_side_wave
80_20260921021449.csv,2,image,Assigned as side_to_side_wave
81_20260921021459.csv,2,image,Assigned as side_to_side_wave
82_20260921021509.csv,2,image,Assigned as side_to_side_wave
83_20260921021519.csv,2,image,Assigned as side_to_side_wave
84_20260921021529.csv,2,image,Assigned as side_to_side_wave
85_20260921021539.csv,2,image,Assigned as side_to_side_wave
86_20260921021549.csv,2,image,Assigned as side_to_side_wave
87_20260921021559.csv,2,image,Assigned as side_to_side_wave
88_20260921021609.csv,2,image,Assigned as side_to_side_wave
89_20260921021619.csv,2,image,Assigned as side_to_side_wave
90_20260921021629.csv,2,image,Assigned as side_to_side_wave
91_20260921021639.csv,2,image,Assigned as side_to_side_wave
92_20260921021649.csv,2,image,Assigned as side_to_side_wave
93_20260921021659.csv,2,image,Assigned as side_to_side_wave
94_20260921021709.csv,2,image,Assigned as side_to_side_wave
95_20260921021719.csv,2,image,Assigned as side_to_side_wave
96_20260921021729.csv,2,image,Assigned as side_to_side_wave
97_20260921021739.csv,2,image,Assigned as side_to_side_wave
98_20260921021749.csv,2,image,Assigned as side_to_side_wave
99_20260921021759.csv,2,image,Assigned as side_to_side_wave
100_20260921021809.csv,2,image,Assigned as side_to_side_wave
101_20260921021819.csv,2,image,Assigned as side_to_side_wave
102_20260921021829.csv,2,image,Assigned as side_to_side_wave
103_20260921021839.csv,2,image,Assigned as side_to_side_wave
104_20260921021849.csv,2,image,Assigned as side_to_side_wave
105_20260921021859.csv,2,image,Assigned as side_to_side_wave
106_20260921021909.csv,2,image,Assigned as side_to_side_wave
107_20260921021919.csv,2,image,Assigned as side_to_side_wave
108_20260921021929.csv,2,image,Assigned as side_to_side_wave
109_20260921021939.csv,2,image,Assigned as side_to_side_wave
110_20260921021949.csv,2,image,Assigned as side_to_side_wave
111_20260921021959.csv,2,image,Assigned as side_to_side_wave
112_20260921022009.csv,2,image,Assigned as side_to_side_wave
113_20260921022019.csv,2,image,Assigned as side_to_side_wave
114_20260921022029.csv,2,image,Assigned as side_to_side_wave
115_20260921022039.csv,2,image,Assigned as side_to_side_wave
116_20260921022049.csv,2,image,Assigned as side_to_side_wave
117_20260921022059.csv,2,image,Assigned as side_to_side_wave
118_20260921022109.csv,2,image,Assigned as side_to_side_wave
119_20260921022119.csv,2,image,Assigned as side_to_side_wave
120_20260921022129.csv,2,accelerometer_data,Assigned as side_to_side_wave
121_20260921022139.csv,2,image,Assigned as side_to_side_wave
122_20260921022149.csv,2,image,Assigned as side_to_side_wave
123_20260921022159.csv,2,image,Assigned as side_to_side_wave
124_20260921022209.csv,2,image,Assigned as side_to_side_wave
125_20260921022219.csv,2,image,Assigned as side_to_side_wave
126_20260921022229.csv,2,image,Assigned as side_to_side_wave
127_20260921022239.csv,2,image,Assigned as side_to_side_wave
128_20260921022249.csv,2,image,Assigned as side_to_side_wave
129_20260921022259.csv,2,image,Assigned as side_to_side_wave
130_20260921022309.csv,-1,uncertain,Marked uncertain for later review
131_20260921022319.csv,0,image,Assigned as no_activity
132_20260921022329.csv,0,image,Assigned as no_activity
133_20260921022339.csv,0,image,Assigned as no_activity
134_20260921022349.csv,0,image,Assigned as no_activity
135_20260921022359.csv,0,image,Assigned as no_activity
136_20260921022409.csv,0,image,Assigned as no_activity
137_20260921022419.csv,0,image,Assigned as no_activity
138_20260921022429.csv,0,image,Assigned as no_activity
157_20260921022903.csv,0,image,Assigned as no_activity
158_20260921022913.csv,0,image,Assigned as no_activity
159_20260921022923.csv,0,accelerometer_data,Assigned as no_activity
160_20260921022933.csv,0,accelerometer_data,Assigned as no_activity
161_20260921022943.csv,0,accelerometer_data,Assigned as no_activity
162_20260921022953.csv,0,image,Assigned as no_activity
163_20260921023003.csv,0,image,Assigned as no_activity
164_20260921023013.csv,0,accelerometer_data,Assigned as no_activity
165_20260921023023.csv,0,image,Assigned as no_activity
166_20260921023033.csv,0,accelerometer_data,Assigned as no_activity
167_20260921023043.csv,0,accelerometer_data,Assigned as no_activity
168_20260921023053.csv,0,image,Assigned as no_activity
169_20260921023103.csv,0,accelerometer_data,Assigned as no_activity
170_20260921023113.csv,0,accelerometer_data,Assigned as no_activity
171_20260921023123.csv,0,accelerometer_data,Assigned as no_activity
172_20260921023133.csv,0,accelerometer_data,Assigned as no_activity
173_20260921023143.csv,0,image,Assigned as no_activity
174_20260921023153.csv,0,image,Assigned as no_activity
175_20260921023203.csv,0,image,Assigned as no_activity
176_20260921023213.csv,0,image,Assigned as no_activity
177_20260921023223.csv,0,accelerometer_data,Assigned as no_activity
